Teks Berita,Teks_Bersih,Label,Sumber
KPK Kembali Geledah Rumah Mewah Ipda Yayat Sudrajat di Depok,kpk kembali geledah rumah mewah ipda yayat sudrajat di depok,Fakta,Kompas Nasional
2 Orang Kepercayaan Menteri Nusron Wahid Bungkam Usai Diperiksa KPK,orang kepercayaan menteri nusron wahid bungkam usai diperiksa kpk,Fakta,Kompas Nasional
"Golkar Sebut Syarat Pencalonan Capres Tetap Perlu meski ""Threshold"" Dihapus MK",golkar sebut syarat pencalonan capres tetap perlu meski threshold dihapus mk,Fakta,Kompas Nasional
Memaknai Hari Keadilan Ekologis,memaknai hari keadilan ekologis,Fakta,Kompas Nasional
Wacana Syarat Capres via 2 Fraksi DPR Dinilai Hilangkan Hak Parpol Kecil,wacana syarat capres via fraksi dpr dinilai hilangkan hak parpol kecil,Fakta,Kompas Nasional
Pemerintah Diminta Pastikan Keselamatan WNI di Tengah Konflik Houthi-Arab Saudi,pemerintah diminta pastikan keselamatan wni di tengah konflik houthi arab saudi,Fakta,Kompas Nasional
"Wamendagri Berdukacita Atas Penembakan 3 ASN di Jayawijaya, Ajak Jaga Persatuan",wamendagri berdukacita atas penembakan asn di jayawijaya ajak jaga persatuan,Fakta,Kompas Nasional
Kejagung Periksa 3 Pegawai Kementerian ESDM Terkait Korupsi Nikel di PT CNI,kejagung periksa pegawai kementerian esdm terkait korupsi nikel di pt cni,Fakta,Kompas Nasional
"Situasi Terkini Rusia-Ukraina: Saling Balas Serangan Drone, Incar Kilang Minyak hingga Logistik Militer",situasi terkini rusia ukraina saling balas serangan drone incar kilang minyak hingga logistik militer,Fakta,Kompas Nasional
Syarat Capres Diusung 2 Partai Dinilai Akal-Akalan Elite Batasi Kompetisi,syarat capres diusung partai dinilai akal akalan elite batasi kompetisi,Fakta,Kompas Nasional
Yaqut Sebut Kemenag Tak Wajib Laporkan Pengelolaan Dana Haji ke BPKH,yaqut sebut kemenag tak wajib laporkan pengelolaan dana haji ke bpkh,Fakta,Kompas Nasional
"Perang Rusia-Ukraina Kembali Memanas, Kemlu Pastikan Tak Ada WNI Jadi Korban",perang rusia ukraina kembali memanas kemlu pastikan tak ada wni jadi korban,Fakta,Kompas Nasional
BNPB: 60 Hektare Lahan di Kaki Gunung Klabat Hangus Terbakar,bnpb hektare lahan di kaki gunung klabat hangus terbakar,Fakta,Kompas Nasional
Yaqut Cecar Saksi soal Pembagian Kuota Haji: BPKH Lebih Senang Dong?,yaqut cecar saksi soal pembagian kuota haji bpkh lebih senang dong,Fakta,Kompas Nasional
"Sidang Bupati Pati Sudewo Ricuh, KPK: Tuntutan Disusun Berdasarkan Fakta",sidang bupati pati sudewo ricuh kpk tuntutan disusun berdasarkan,Fakta,Kompas Nasional
5 Mahasiswa Hukum Tarik Permohonan Uji Pasal Santet KUHP di MK,mahasiswa hukum tarik permohonan uji pasal santet kuhp di mk,Fakta,Kompas Nasional
Jelang 2 Tahun Pemerintahan Prabowo: Teorema Kebangsaan dan Seni Mengelola Kekuasaan,jelang tahun pemerintahan prabowo teorema kebangsaan dan seni mengelola kekuasaan,Fakta,Kompas Nasional
"Syarat Capres Minimal Didukung 2 Partai DPR, Hanya ""Baju Baru"" untuk ""Presidential Threshold""?",syarat capres minimal didukung partai dpr hanya baju baru untuk presidential threshold,Fakta,Kompas Nasional
Yaqut Cecar Saksi soal Input Data Kuota Haji 50:50 di E-Hajj,yaqut cecar saksi soal input data kuota haji di e hajj,Fakta,Kompas Nasional
7 Saksi Diperiksa dalam Korupsi MBG: dari Penyedia Peralatan Dapur SPPG hingga Tenaga Ahli BGN,saksi diperiksa dalam korupsi mbg dari penyedia peralatan dapur sppg hingga tenaga ahli bgn,Fakta,Kompas Nasional
Mendikdasmen Sebut Ekskul Korps Kadet Indonesia Tak Wajib Diikuti,mendikdasmen sebut ekskul korps kadet indonesia tak wajib diikuti,Fakta,Kompas Nasional
Kejagung Periksa 3 Direksi PT Migas Bekasi hingga Pihak Pemkot Terkait Korupsi KSO Pertamina,kejagung periksa direksi pt migas bekasi hingga pihak pemkot terkait korupsi kso pertamina,Fakta,Kompas Nasional
"Praperadilan Silmy Karim, Kuasa Hukum: Kami Uji Sah Tidaknya Proses Secara Formil",praperadilan silmy karim kuasa hukum kami uji sah tidaknya proses secara formil,Fakta,Kompas Nasional
Mendikdasmen Terbitkan Aturan Ekskul Korps Kadet Bela Negara untuk SMA,mendikdasmen terbitkan aturan ekskul korps kadet bela negara untuk sma,Fakta,Kompas Nasional
"Uji Syarat ""Taat Beragama"" Capres ke MK, Advokat: Bagaimana Cara Membuktikannya?",uji syarat taat beragama capres ke mk advokat bagaimana cara membuktikannya,Fakta,Kompas Nasional
"DPD RI Gagas RUU Artificial Intelligence, Gandeng BRIN dan ICMI",dpd ri gagas ruu artificial intelligence gandeng brin dan icmi,Fakta,Kompas Nasional
"Wakili Pemerintah, Mendagri Sepakati RUU tentang 15 Kabupaten/Kota Dibawa ke Paripurna",wakili pemerintah mendagri sepakati ruu tentang kabupaten kota dibawa ke paripurna,Fakta,Kompas Nasional
"Dorong Pemerataan Akses Pendidikan, PAN Dukung Sekolah Rakyat dan Sekolah Garuda Transformasi",dorong pemerataan akses pendidikan pan dukung sekolah rakyat dan sekolah garuda transformasi,Fakta,Kompas Nasional
"Ketiadaan Parameter ""Takwa kepada Tuhan"" dalam Syarat Capres Digugat ke MK",ketiadaan parameter takwa kepada tuhan dalam syarat capres digugat ke mk,Fakta,Kompas Nasional
"Tanpa Tes, Guru PPPK Paruh Waktu Jadi Penuh Waktu Mulai Januari 2027",tanpa tes guru pppk paruh waktu jadi penuh waktu mulai januari,Fakta,Kompas Nasional
Jaksa Tanyai Nilai Manfaat dan Investasi dari Biaya Haji ke Kepala BPKH,jaksa tanyai nilai manfaat dan investasi dari biaya haji ke kepala bpkh,Fakta,Kompas Nasional
"RUU Reforma Agraria Disahkan Besok, DPR Diminta Jangan Selundupkan Pasal Menyimpang",ruu reforma agraria disahkan besok dpr diminta jangan selundupkan pasal menyimpang,Fakta,Kompas Nasional
"Kemendikdasmen Dapat Tambahan Anggaran Rp 28 Triliun, Pagu 2027 Naik Jadi Rp 89,1 T",kemendikdasmen dapat tambahan anggaran rp triliun pagu naik jadi rp t,Fakta,Kompas Nasional
PDI-P Usul Ada Batas Maksimal Jumlah Parpol Pengusung Capres,pdi p usul ada batas maksimal jumlah parpol pengusung capres,Fakta,Kompas Nasional
KPK Sita Mobil Mercy Milik Anggota DPRD Bengkulu Vinna Ledy Anggraheni,kpk sita mobil mercy milik anggota dprd bengkulu vinna ledy anggraheni,Fakta,Kompas Nasional
"Guru PPPK Paruh Waktu Disebut Otomatis Diangkat Jadi Penuh Waktu, Tanpa Tes",guru pppk paruh waktu disebut otomatis diangkat jadi penuh waktu tanpa tes,Fakta,Kompas Nasional
"Prabowo Ingin Pendidikan Negeri Gratis, Anggota DPR Ingatkan Nasib Kampus Swasta",prabowo ingin pendidikan negeri gratis anggota dpr ingatkan nasib kampus swasta,Fakta,Kompas Nasional
"Suara Parpol DPR Nonkoalisi soal PT 5 Persen: PDI-P Nilai Ideal, Nasdem Kekeh 7 Persen",suara parpol dpr nonkoalisi soal pt persen pdi p nilai ideal nasdem kekeh persen,Fakta,Kompas Nasional
"Lomba Kampung Pancasila Surabaya Dimulai, 1.360 RW Bersaing Menuju 35 Terbaik",lomba kampung pancasila surabaya dimulai rw bersaing menuju terbaik,Fakta,Kompas Nasional
BNPB: 5 Hektar Lahan di Kebumen Terbakar Diduga karena Warga Bakar Sampah,bnpb hektar lahan di kebumen terbakar diduga karena warga bakar sampah,Fakta,Kompas Nasional
"Kasus Silmy Karim Dibandingkan dengan OTT ATR/BPN, Soroti Proses Formil",kasus silmy karim dibandingkan dengan ott atr bpn soroti proses formil,Fakta,Kompas Nasional
DPR Diminta Perkuat Pelindungan Perempuan dalam RUU Ketenagakerjaan,dpr diminta perkuat pelindungan perempuan dalam ruu ketenagakerjaan,Fakta,Kompas Nasional
"Besok, RUU Reforma Agraria Bakal Disahkan di Rapat Paripurna DPR",besok ruu reforma agraria bakal disahkan di rapat paripurna dpr,Fakta,Kompas Nasional
"Soal Wacana Minimal 2 Fraksi Usung Capres, PKS Tegaskan Putusan MK",soal wacana minimal fraksi usung capres pks tegaskan putusan mk,Fakta,Kompas Nasional
Syarat 2 Fraksi DPR untuk Capres Dinilai Persulit Parpol Kecil Usung Calon Alternatif,syarat fraksi dpr untuk capres dinilai persulit parpol kecil usung calon alternatif,Fakta,Kompas Nasional
"Mundur dari Kepengurusan Golkar, Nusron Wahid: Sudah Diskusi dengan Bahlil",mundur dari kepengurusan golkar nusron wahid sudah diskusi dengan bahlil,Fakta,Kompas Nasional
"Di Sidang, Kepala BPKH Nyatakan Tak Bisa Tentukan Jemaah Berangkat Haji",di sidang kepala bpkh nyatakan tak bisa tentukan jemaah berangkat haji,Fakta,Kompas Nasional
"Sidang MK Ungkap Latar Belakang Kompensasi Delay Pesawat di Indonesia, Dari Rp 2 juta Jadi Rp 300.000",sidang mk ungkap latar belakang kompensasi delay pesawat di indonesia dari rp juta jadi rp,Fakta,Kompas Nasional
"Pelaku Pelecehan Santri Jombang, Mas Bechi Bebas Bersyarat",pelaku pelecehan santri jombang mas bechi bebas bersyarat,Fakta,Kompas Nasional
Kubu Silmy Karim Pertanyakan Asal-usul Uang Rp 150 Miliar yang Disita KPK,kubu silmy karim pertanyakan asal usul uang rp miliar yang disita kpk,Fakta,Kompas Nasional
Mampukah PAN Menembus Ambang Batas Parlemen 5 Persen?,mampukah pan menembus ambang batas parlemen persen,Fakta,Kompas Nasional
"Di Sidang, Kepala BPKH: Kemenag Tak Pernah Laporkan Penggunaan Dana Haji yang Ditransfer",di sidang kepala bpkh kemenag tak pernah laporkan penggunaan dana haji yang ditransfer,Fakta,Kompas Nasional
Bolosego di Jogja dan Sulitnya Membangun Ekosistem Usaha di Indonesia,bolosego di jogja dan sulitnya membangun ekosistem usaha di indonesia,Fakta,Kompas Nasional
Nusron Wahid: Kami Menghormati dan Mengikuti Proses Hukum di KPK,nusron wahid kami menghormati dan mengikuti proses hukum di kpk,Fakta,Kompas Nasional
"Prabowo Ingin Pendidikan Gratis, Kemenag: Semoga Tak Lama Lagi Terwujud",prabowo ingin pendidikan gratis kemenag semoga tak lama lagi terwujud,Fakta,Kompas Nasional
"Silmy Karim Disebut Tak Ikut OTT, tetapi Datang ke KPK dan Langsung Diperiksa sebagai Tersangka",silmy karim disebut tak ikut ott tetapi datang ke kpk dan langsung diperiksa sebagai tersangka,Fakta,Kompas Nasional
Wacana Capres Minimal Didukung 2 Fraksi DPR Dinilai Bertentangan Putusan MK,wacana capres minimal didukung fraksi dpr dinilai bertentangan putusan mk,Fakta,Kompas Nasional
"Soal Wacana Sekolah Gratis hingga PTN, Kemenag: Semoga Kondisi Fiskal Memungkinkan",soal wacana sekolah gratis hingga ptn kemenag semoga kondisi fiskal memungkinkan,Fakta,Kompas Nasional
KPK Geledah Kantor PT Summarecon di Bogor,kpk geledah kantor pt summarecon di bogor,Fakta,Kompas Nasional
"Sempat Dikaitkan dengan ""Gibran"", Baleg DPR Ganti Nama BRAN Jadi LPRA di RUU Reforma Agraria",sempat dikaitkan dengan gibran baleg dpr ganti nama bran jadi lpra di ruu reforma agraria,Fakta,Kompas Nasional
"Muncul Wacana Syarat Capres Diusulkan Minimal 2 Fraksi DPR, Apa Kata Putusan MK?",muncul wacana syarat capres diusulkan minimal fraksi dpr apa kata putusan mk,Fakta,Kompas Nasional
"Garibaldi Gratis, tetapi Berapa Biaya Sesungguhnya?",garibaldi gratis tetapi berapa biaya sesungguhnya,Fakta,Kompas Nasional
"Cegah Bullying, Kemenag Perkuat Perlindungan Anak di Madrasah dan Pesantren",cegah bullying kemenag perkuat perlindungan anak di madrasah dan pesantren,Fakta,Kompas Nasional
"Praperadilan, Silmy Karim Persoalkan Penetapan Tersangka hingga Penyitaan oleh KPK",praperadilan silmy karim persoalkan penetapan tersangka hingga penyitaan oleh kpk,Fakta,Kompas Nasional
Hakim MK Soroti Tiket Pesawat Naik Berkali Lipat Tapi Kompensasi Delay Tetap Rp 300.000,hakim mk soroti tiket pesawat naik berkali lipat tapi kompensasi delay tetap rp,Fakta,Kompas Nasional
"RUU Reforma Agraria Rampung Dibahas: Berisi 53 Pasal, Siap Disahkan di Rapat Paripurna",ruu reforma agraria rampung dibahas berisi pasal siap disahkan di rapat paripurna,Fakta,Kompas Nasional
"KRI Sriwijaya Bakal Jadi Nama Baru Giuseppe Garibaldi, Ada Pertimbangan Sejarah Kemaritiman Nusantara",kri sriwijaya bakal jadi nama baru giuseppe garibaldi ada pertimbangan sejarah kemaritiman nusantara,Fakta,Kompas Nasional
"Dasco Pimpin Finalisasi RUU Reforma Agraria, Menteri ATR/BPN Nusron Wahid Hadir",dasco pimpin finalisasi ruu reforma agraria menteri atr bpn nusron wahid hadir,Fakta,Kompas Nasional
Komisi II DPR Sepakati 15 RUU Kabupaten/Kota Dibawa ke Paripurna Besok,komisi ii dpr sepakati ruu kabupaten kota dibawa ke paripurna besok,Fakta,Kompas Nasional
Ketika Sentralisasi Menguji Meritokrasi,ketika sentralisasi menguji meritokrasi,Fakta,Kompas Nasional
PAN Jajaki Usia Dewasa: Saatnya Perkuat Basis Massa di Semua Lini...,pan jajaki usia dewasa saatnya perkuat basis massa di semua lini,Fakta,Kompas Nasional
Membaca Bencana sebagai Kejahatan Negara,membaca bencana sebagai kejahatan negara,Fakta,Kompas Nasional
"Eks Pimpinan KPK Ingatkan RUU Perampasan Aset Jangan Sembarang, Harus Ada Bukti Jelas",eks pimpinan kpk ingatkan ruu perampasan aset jangan sembarang harus ada bukti jelas,Fakta,Kompas Nasional
Perludem: Syarat Pencalonan Capres-Cawapres Diusung 2 Partai di DPR Bertentangan Putusan MK,perludem syarat pencalonan capres cawapres diusung partai di dpr bertentangan putusan mk,Fakta,Kompas Nasional
"KPK: Skor Indeks Integritas Kementerian ATR/BPN Turun 4,58 Poin, Masuk Kategori Rentan",kpk skor indeks integritas kementerian atr bpn turun poin masuk kategori rentan,Fakta,Kompas Nasional
"PAN Setuju Usulan Syarat Capres Diusung Minimal 2 Partai, Sebut Tak Langgar Putusan MK",pan setuju usulan syarat capres diusung minimal partai sebut tak langgar putusan mk,Fakta,Kompas Nasional
Bumerang Ambang Batas 5 Persen,bumerang ambang batas persen,Fakta,Kompas Nasional
KPK Telusuri Dana Operasional Fiktif Era Lukas Enembe yang Capai Triliunan Rupiah,kpk telusuri dana operasional fiktif era lukas enembe yang capai triliunan rupiah,Fakta,Kompas Nasional
"Menteri PPPA Soroti Kasus Pria Tendang Wanita di Senayan City, Janji Bakal Kawal Korban",menteri pppa soroti kasus pria tendang wanita di senayan city janji bakal kawal korban,Fakta,Kompas Nasional
"Pascabencana Sumatera, Bantuan Jaminan Hidup Rp 435,3 Miliar Siap Dicairkan",pascabencana sumatera bantuan jaminan hidup rp miliar siap dicairkan,Fakta,Kompas Nasional
"Golkar Akui Ikut Usulkan Syarat Capres Diusung Minimal 2 Fraksi, Klaim Berbasis Putusan MK",golkar akui ikut usulkan syarat capres diusung minimal fraksi klaim berbasis putusan mk,Fakta,Kompas Nasional
Urgensi Sterilisasi Gawai di Sidang DPR,urgensi sterilisasi gawai di sidang dpr,Fakta,Kompas Nasional
"Kapal Jepang JS Kunisaki Bergerak ke Ketapang, Bawa Helikopter Chinook untuk Padamkan Karhutla",kapal jepang js kunisaki bergerak ke ketapang bawa helikopter chinook untuk padamkan karhutla,Fakta,Kompas Nasional
"BGN Siapkan Marketplace Bahan Baku MBG, Cukupkah untuk Cegah Korupsi?",bgn siapkan marketplace bahan baku mbg cukupkah untuk cegah korupsi,Fakta,Kompas Nasional
"Di Balik HUT Ke-28 PAN, Ada Konsep Eko Patrio dan Aksi Viral Lebah Begantong",di balik hut ke pan ada konsep eko patrio dan aksi viral lebah begantong,Fakta,Kompas Nasional
Refly Harun dan Bambang Widjojanto Jadi Kuasa Hukum Penggugat Syarat Pencalonan Gibran di MK,refly harun dan bambang widjojanto jadi kuasa hukum penggugat syarat pencalonan gibran di mk,Fakta,Kompas Nasional
"Gerindra Buka Pintu untuk PDI-P, Akankah Peta Koalisi Prabowo Berubah pada 2029?",gerindra buka pintu untuk pdi p akankah peta koalisi prabowo berubah pada,Fakta,Kompas Nasional
"""Data Abadi"" Mantan Jampidsus",data abadi mantan jampidsus,Fakta,Kompas Nasional
"Soroti Perlindungan Satwa, Menhut-Dubes Norwegia Cek Mitigasi Karhutla di Way Kambas",soroti perlindungan satwa menhut dubes norwegia mitigasi karhutla di way kambas,Fakta,Kompas Nasional
"Ambang Batas 5 Persen, Antara Menyederhanakan Parlemen dan Risiko Suara Terbuang",ambang batas persen antara menyederhanakan parlemen dan risiko suara terbuang,Fakta,Kompas Nasional
"Jelang 2 Tahun Menjabat, Prabowo Percaya Diri Banyak yang Sudah Dicapai",jelang tahun menjabat prabowo percaya diri banyak yang sudah dicapai,Fakta,Kompas Nasional
"Kuota, Sertifikat, dan Ekonomi Rente Negara",kuota sertifikat dan ekonomi rente negara,Fakta,Kompas Nasional
"Saat Sekolah Diberi Opsi Menolak MBG, Ada Hak Siswa yang Harus Tetap Dijaga",saat sekolah diberi opsi menolak mbg ada hak siswa yang harus tetap dijaga,Fakta,Kompas Nasional
"Dari Gontor, Menguji Telinga Kekuasaan",dari gontor menguji telinga kekuasaan,Fakta,Kompas Nasional
"Gerindra Buka Pintu untuk PDI-P, Mungkinkah Rujuk pada Pilpres 2029?",gerindra buka pintu untuk pdi p mungkinkah rujuk pada pilpres,Fakta,Kompas Nasional
"Febrie Adriansyah Buka Suara, Bantah Miliki Emas 74 Kg hingga Mempertanyakan Perkara",febrie adriansyah buka suara bantah miliki emas kg hingga mempertanyakan perkara,Fakta,Kompas Nasional
"Deretan Penggugat Sengketa Pilpres Terkait Syarat Pencalonan Gibran, Ada Forum Purnawirawan TNI",deretan penggugat sengketa pilpres terkait syarat pencalonan gibran ada forum purnawirawan tni,Fakta,Kompas Nasional
"Malam Ini, Gugatan Denny Indrayana soal Syarat Pencalonan Gibran Disidangkan MK",malam ini gugatan denny indrayana soal syarat pencalonan gibran disidangkan mk,Fakta,Kompas Nasional
Isi Tuntutan Perkara Sengketa Pilpres Terkait Syarat Pencalonan Gibran yang Digelar Hari Ini,isi tuntutan perkara sengketa pilpres terkait syarat pencalonan gibran yang digelar hari ini,Fakta,Kompas Nasional
Jika Kekuasaan Lebih Suka Diberi Tepuk Tangan,jika kekuasaan lebih suka diberi tepuk tangan,Fakta,Kompas Nasional
"Sepekan OTT ATR/BPN, KPK Telusuri Jejak Suap HGB dari Kantor Summarecon hingga Rumah Dirjen",sepekan ott atr bpn kpk telusuri jejak suap hgb dari kantor summarecon hingga rumah dirjen,Fakta,Kompas Nasional
Pilpres 2029: Ambang Batas Pencalonan dari Pintu Belakang,pilpres ambang batas pencalonan dari pintu belakang,Fakta,Kompas Nasional
"Mentransformasi Giuseppe Garibaldi Menjadi KRI Sriwijaya, Bersiap Jalankan Misi Barunya...",mentransformasi giuseppe garibaldi menjadi kri sriwijaya bersiap jalankan misi barunya,Fakta,Kompas Nasional
"Wajib Sertifikasi Halal Dimulai Oktober, Anggota DPR DPR Minta UMK Tak Langsung Dibebani Sanksi",wajib sertifikasi halal dimulai oktober anggota dpr dpr minta umk tak langsung dibebani sanksi,Fakta,Kompas Nasional
"Pemerintah Maksimal Tangani Karhutla, Seskab Teddy: Semua Dilakukan untuk Lindungi Masyarakat",pemerintah maksimal tangani karhutla seskab teddy semua dilakukan untuk lindungi masyarakat,Fakta,Kompas Nasional
"Lima Gampong di Aceh Timur Terima 4,2 Juta Benur untuk Pulihkan Tambak Pascabencana",lima gampong di aceh timur terima juta benur untuk pulihkan tambak pascabencana,Fakta,Kompas Nasional
Anggota DPR Minta Pemerintah Siapkan Lokasi Alternatif untuk UMKM di Alun-alun Kidul Jogja,anggota dpr minta pemerintah siapkan lokasi alternatif untuk umkm di alun alun kidul jogja,Fakta,Kompas Nasional
Penyelam Basarnas Temukan Lagi Korban KM Virgo Transport 8 di Dalam Bangkai Kapal,penyelam basarnas temukan lagi korban km virgo transport di dalam bangkai kapal,Fakta,Kompas Nasional
"Gibran Sentil Pegawai SPPG yang Ejek Korban Keracunan MBG Karo, Wajahnya Di-upload ke Instagram",gibran sentil pegawai sppg yang ejek korban keracunan mbg karo wajahnya di upload ke instagram,Fakta,Kompas Nasional
Aparat Diminta Tertibkan Dugaan Pungli Food Truck di Alun-alun Kidul Jogja,aparat diminta tertibkan dugaan pungli food truck di alun alun kidul jogja,Fakta,Kompas Nasional
"Soal Ambang Batas Parlemen 5 Persen, PSI Ingatkan Jangan Sampai Suara Rakyat Terbuang",soal ambang batas parlemen persen psi ingatkan jangan sampai suara rakyat terbuang,Fakta,Kompas Nasional
"Bantah KKB soal Warga Sipil Mata-mata TNI, Kapuspen: Mereka Mau Menakuti Masyarakat",bantah kkb soal warga sipil mata mata tni kapuspen mereka mau menakuti masyarakat,Fakta,Kompas Nasional
"Besok, MK Gelar Sidang Sengketa Pilpres soal Syarat Pencalonan Gibran",besok mk gelar sidang sengketa pilpres soal syarat pencalonan gibran,Fakta,Kompas Nasional
Golkar Masih Pertimbangkan Skema Baru Pencalonan Capres Usai Presidential Threshold Dihapus,golkar masih pertimbangkan skema baru pencalonan capres usai presidential threshold dihapus,Fakta,Kompas Nasional
Kapuspen TNI Sebut 9 Anak Korban Penyanderaan di Papua Masih Belum Kembali,kapuspen tni sebut anak korban penyanderaan di papua masih belum kembali,Fakta,Kompas Nasional
Road to Pertamina Eco RunFest 2026 Ajak Masyarakat Wujudkan Aksi Nyata Jaga Lingkungan,road to pertamina eco runfest ajak masyarakat wujudkan aksi nyata jaga lingkungan,Fakta,Kompas Nasional
"Sopir Travel Tewas oleh KKB, Anggota DPR Desak Pemerintah Perkuat Perlindungan Warga Sipil di Papua",sopir travel tewas oleh kkb anggota dpr desak pemerintah perkuat perlindungan warga sipil di papua,Fakta,Kompas Nasional
"Guru Honorer, Petani, Nelayan, dan Mitra Ojol Jadi Tamu Kehormatan di HUT Ke-28 PAN",guru honorer petani nelayan dan mitra ojol jadi tamu kehormatan di hut ke pan,Fakta,Kompas Nasional
"Cak Imin Ingatkan UMKM Tak Cukup Hanya Dilatih, Harus Punya Akses Pasar",cak imin ingatkan umkm tak cukup hanya dilatih harus punya akses pasar,Fakta,Kompas Nasional
"Prabowo Mau SD, SMP, SMA Negeri Gratis, Mendikdasmen: Sudah Gratis Semua",prabowo mau sd smp sma negeri gratis mendikdasmen sudah gratis semua,Fakta,Kompas Nasional
"Petakan Tata Kelola Agraria Kawasan Transmigrasi, Tim Ekspedisi Patriot Unhas Inisiasi Forum Diskusi di Fakfak Timur",petakan tata kelola agraria kawasan transmigrasi tim ekspedisi patriot unhas inisiasi forum diskusi di fakfak timur,Fakta,Kompas Nasional
Kapuspen Sebut Tuduhan Warga Sipil Mata-Mata TNI Hanya Teror dan Intimidasi,kapuspen sebut tuduhan warga sipil mata mata tni hanya teror dan intimidasi,Fakta,Kompas Nasional
Sedangkal Itukah Bahasa Kekuasaan?,sedangkal itukah bahasa kekuasaan,Fakta,Kompas Nasional
