Teks Berita,Teks_Final,Label,Sumber
"Wamendagri Berdukacita Atas Penembakan 3 ASN di Jayawijaya, Ajak Jaga Persatuan",wamendagri berdukacita penembakan asn jayawijaya ajak jaga persatuan,Fakta,Kompas Nasional
Kejagung Periksa 3 Pegawai Kementerian ESDM Terkait Korupsi Nikel di PT CNI,kejagung periksa pegawai kementerian esdm terkait korupsi nikel pt cni,Fakta,Kompas Nasional
"Situasi Terkini Rusia-Ukraina: Saling Balas Serangan Drone, Incar Kilang Minyak hingga Logistik Militer",situasi terkini rusia ukraina balas serangan drone incar kilang minyak logistik militer,Fakta,Kompas Nasional
Syarat Capres Diusung 2 Partai Dinilai Akal-Akalan Elite Batasi Kompetisi,syarat capres diusung partai dinilai akal akalan elite batasi kompetisi,Fakta,Kompas Nasional
Yaqut Sebut Kemenag Tak Wajib Laporkan Pengelolaan Dana Haji ke BPKH,yaqut kemenag wajib laporkan pengelolaan dana haji bpkh,Fakta,Kompas Nasional
"Perang Rusia-Ukraina Kembali Memanas, Kemlu Pastikan Tak Ada WNI Jadi Korban",perang rusia ukraina memanas kemlu pastikan wni korban,Fakta,Kompas Nasional
BNPB: 60 Hektare Lahan di Kaki Gunung Klabat Hangus Terbakar,bnpb hektare lahan kaki gunung klabat hangus terbakar,Fakta,Kompas Nasional
Yaqut Cecar Saksi soal Pembagian Kuota Haji: BPKH Lebih Senang Dong?,yaqut cecar saksi pembagian kuota haji bpkh senang,Fakta,Kompas Nasional
"Sidang Bupati Pati Sudewo Ricuh, KPK: Tuntutan Disusun Berdasarkan Fakta",sidang bupati pati sudewo ricuh kpk tuntutan disusun berdasarkan,Fakta,Kompas Nasional
5 Mahasiswa Hukum Tarik Permohonan Uji Pasal Santet KUHP di MK,mahasiswa hukum tarik permohonan uji pasal santet kuhp mk,Fakta,Kompas Nasional
Jelang 2 Tahun Pemerintahan Prabowo: Teorema Kebangsaan dan Seni Mengelola Kekuasaan,jelang pemerintahan prabowo teorema kebangsaan seni mengelola kekuasaan,Fakta,Kompas Nasional
"Syarat Capres Minimal Didukung 2 Partai DPR, Hanya ""Baju Baru"" untuk ""Presidential Threshold""?",syarat capres minimal didukung partai dpr baju presidential threshold,Fakta,Kompas Nasional
Yaqut Cecar Saksi soal Input Data Kuota Haji 50:50 di E-Hajj,yaqut cecar saksi input data kuota haji e hajj,Fakta,Kompas Nasional
7 Saksi Diperiksa dalam Korupsi MBG: dari Penyedia Peralatan Dapur SPPG hingga Tenaga Ahli BGN,saksi diperiksa korupsi mbg penyedia peralatan dapur sppg tenaga ahli bgn,Fakta,Kompas Nasional
Mendikdasmen Sebut Ekskul Korps Kadet Indonesia Tak Wajib Diikuti,mendikdasmen ekskul korps kadet indonesia wajib diikuti,Fakta,Kompas Nasional
Kejagung Periksa 3 Direksi PT Migas Bekasi hingga Pihak Pemkot Terkait Korupsi KSO Pertamina,kejagung periksa direksi pt migas bekasi pemkot terkait korupsi kso pertamina,Fakta,Kompas Nasional
"Praperadilan Silmy Karim, Kuasa Hukum: Kami Uji Sah Tidaknya Proses Secara Formil",praperadilan silmy karim kuasa hukum uji sah tidaknya proses formil,Fakta,Kompas Nasional
Mendikdasmen Terbitkan Aturan Ekskul Korps Kadet Bela Negara untuk SMA,mendikdasmen terbitkan aturan ekskul korps kadet bela negara sma,Fakta,Kompas Nasional
"Uji Syarat ""Taat Beragama"" Capres ke MK, Advokat: Bagaimana Cara Membuktikannya?",uji syarat taat beragama capres mk advokat membuktikannya,Fakta,Kompas Nasional
"DPD RI Gagas RUU Artificial Intelligence, Gandeng BRIN dan ICMI",dpd ri gagas ruu artificial intelligence gandeng brin icmi,Fakta,Kompas Nasional
"Wakili Pemerintah, Mendagri Sepakati RUU tentang 15 Kabupaten/Kota Dibawa ke Paripurna",wakili pemerintah mendagri sepakati ruu kabupaten kota dibawa paripurna,Fakta,Kompas Nasional
"Dorong Pemerataan Akses Pendidikan, PAN Dukung Sekolah Rakyat dan Sekolah Garuda Transformasi",dorong pemerataan akses pendidikan pan dukung sekolah rakyat sekolah garuda transformasi,Fakta,Kompas Nasional
"Ketiadaan Parameter ""Takwa kepada Tuhan"" dalam Syarat Capres Digugat ke MK",ketiadaan parameter takwa tuhan syarat capres digugat mk,Fakta,Kompas Nasional
"Tanpa Tes, Guru PPPK Paruh Waktu Jadi Penuh Waktu Mulai Januari 2027",tes guru pppk paruh penuh januari,Fakta,Kompas Nasional
Jaksa Tanyai Nilai Manfaat dan Investasi dari Biaya Haji ke Kepala BPKH,jaksa tanyai nilai manfaat investasi biaya haji kepala bpkh,Fakta,Kompas Nasional
"RUU Reforma Agraria Disahkan Besok, DPR Diminta Jangan Selundupkan Pasal Menyimpang",ruu reforma agraria disahkan besok dpr selundupkan pasal menyimpang,Fakta,Kompas Nasional
"Kemendikdasmen Dapat Tambahan Anggaran Rp 28 Triliun, Pagu 2027 Naik Jadi Rp 89,1 T",kemendikdasmen tambahan anggaran rp triliun pagu rp t,Fakta,Kompas Nasional
PDI-P Usul Ada Batas Maksimal Jumlah Parpol Pengusung Capres,pdi p usul batas maksimal parpol pengusung capres,Fakta,Kompas Nasional
KPK Sita Mobil Mercy Milik Anggota DPRD Bengkulu Vinna Ledy Anggraheni,kpk sita mobil mercy milik anggota dprd bengkulu vinna ledy anggraheni,Fakta,Kompas Nasional
"Guru PPPK Paruh Waktu Disebut Otomatis Diangkat Jadi Penuh Waktu, Tanpa Tes",guru pppk paruh otomatis diangkat penuh tes,Fakta,Kompas Nasional
"Prabowo Ingin Pendidikan Negeri Gratis, Anggota DPR Ingatkan Nasib Kampus Swasta",prabowo pendidikan negeri gratis anggota dpr ingatkan nasib kampus swasta,Fakta,Kompas Nasional
"Suara Parpol DPR Nonkoalisi soal PT 5 Persen: PDI-P Nilai Ideal, Nasdem Kekeh 7 Persen",suara parpol dpr nonkoalisi pt persen pdi p nilai ideal nasdem kekeh persen,Fakta,Kompas Nasional
"Lomba Kampung Pancasila Surabaya Dimulai, 1.360 RW Bersaing Menuju 35 Terbaik",lomba kampung pancasila surabaya rw bersaing terbaik,Fakta,Kompas Nasional
BNPB: 5 Hektar Lahan di Kebumen Terbakar Diduga karena Warga Bakar Sampah,bnpb hektar lahan kebumen terbakar diduga warga bakar sampah,Fakta,Kompas Nasional
"Kasus Silmy Karim Dibandingkan dengan OTT ATR/BPN, Soroti Proses Formil",silmy karim dibandingkan ott atr bpn soroti proses formil,Fakta,Kompas Nasional
DPR Diminta Perkuat Pelindungan Perempuan dalam RUU Ketenagakerjaan,dpr perkuat pelindungan perempuan ruu ketenagakerjaan,Fakta,Kompas Nasional
"Besok, RUU Reforma Agraria Bakal Disahkan di Rapat Paripurna DPR",besok ruu reforma agraria disahkan rapat paripurna dpr,Fakta,Kompas Nasional
"Soal Wacana Minimal 2 Fraksi Usung Capres, PKS Tegaskan Putusan MK",wacana minimal fraksi usung capres pks tegaskan putusan mk,Fakta,Kompas Nasional
Syarat 2 Fraksi DPR untuk Capres Dinilai Persulit Parpol Kecil Usung Calon Alternatif,syarat fraksi dpr capres dinilai persulit parpol usung calon alternatif,Fakta,Kompas Nasional
"Mundur dari Kepengurusan Golkar, Nusron Wahid: Sudah Diskusi dengan Bahlil",mundur kepengurusan golkar nusron wahid diskusi bahlil,Fakta,Kompas Nasional
"Di Sidang, Kepala BPKH Nyatakan Tak Bisa Tentukan Jemaah Berangkat Haji",sidang kepala bpkh nyatakan tentukan jemaah berangkat haji,Fakta,Kompas Nasional
"Sidang MK Ungkap Latar Belakang Kompensasi Delay Pesawat di Indonesia, Dari Rp 2 juta Jadi Rp 300.000",sidang mk latar kompensasi delay pesawat indonesia rp juta rp,Fakta,Kompas Nasional
"Pelaku Pelecehan Santri Jombang, Mas Bechi Bebas Bersyarat",pelaku pelecehan santri jombang mas bechi bebas bersyarat,Fakta,Kompas Nasional
Kubu Silmy Karim Pertanyakan Asal-usul Uang Rp 150 Miliar yang Disita KPK,kubu silmy karim usul uang rp miliar disita kpk,Fakta,Kompas Nasional
Mampukah PAN Menembus Ambang Batas Parlemen 5 Persen?,pan menembus ambang batas parlemen persen,Fakta,Kompas Nasional
"Di Sidang, Kepala BPKH: Kemenag Tak Pernah Laporkan Penggunaan Dana Haji yang Ditransfer",sidang kepala bpkh kemenag laporkan penggunaan dana haji ditransfer,Fakta,Kompas Nasional
Bolosego di Jogja dan Sulitnya Membangun Ekosistem Usaha di Indonesia,bolosego jogja sulitnya membangun ekosistem usaha indonesia,Fakta,Kompas Nasional
Nusron Wahid: Kami Menghormati dan Mengikuti Proses Hukum di KPK,nusron wahid menghormati mengikuti proses hukum kpk,Fakta,Kompas Nasional
"Prabowo Ingin Pendidikan Gratis, Kemenag: Semoga Tak Lama Lagi Terwujud",prabowo pendidikan gratis kemenag semoga terwujud,Fakta,Kompas Nasional
"Silmy Karim Disebut Tak Ikut OTT, tetapi Datang ke KPK dan Langsung Diperiksa sebagai Tersangka",silmy karim ott kpk langsung diperiksa tersangka,Fakta,Kompas Nasional
Wacana Capres Minimal Didukung 2 Fraksi DPR Dinilai Bertentangan Putusan MK,wacana capres minimal didukung fraksi dpr dinilai bertentangan putusan mk,Fakta,Kompas Nasional
"Soal Wacana Sekolah Gratis hingga PTN, Kemenag: Semoga Kondisi Fiskal Memungkinkan",wacana sekolah gratis ptn kemenag semoga kondisi fiskal,Fakta,Kompas Nasional
KPK Geledah Kantor PT Summarecon di Bogor,kpk geledah kantor pt summarecon bogor,Fakta,Kompas Nasional
"Sempat Dikaitkan dengan ""Gibran"", Baleg DPR Ganti Nama BRAN Jadi LPRA di RUU Reforma Agraria",dikaitkan gibran baleg dpr ganti nama bran lpra ruu reforma agraria,Fakta,Kompas Nasional
"Muncul Wacana Syarat Capres Diusulkan Minimal 2 Fraksi DPR, Apa Kata Putusan MK?",muncul wacana syarat capres diusulkan minimal fraksi dpr putusan mk,Fakta,Kompas Nasional
"Garibaldi Gratis, tetapi Berapa Biaya Sesungguhnya?",garibaldi gratis biaya sesungguhnya,Fakta,Kompas Nasional
"Cegah Bullying, Kemenag Perkuat Perlindungan Anak di Madrasah dan Pesantren",cegah bullying kemenag perkuat perlindungan anak madrasah pesantren,Fakta,Kompas Nasional
"Praperadilan, Silmy Karim Persoalkan Penetapan Tersangka hingga Penyitaan oleh KPK",praperadilan silmy karim persoalkan penetapan tersangka penyitaan kpk,Fakta,Kompas Nasional
Hakim MK Soroti Tiket Pesawat Naik Berkali Lipat Tapi Kompensasi Delay Tetap Rp 300.000,hakim mk soroti tiket pesawat berkali lipat kompensasi delay rp,Fakta,Kompas Nasional
"RUU Reforma Agraria Rampung Dibahas: Berisi 53 Pasal, Siap Disahkan di Rapat Paripurna",ruu reforma agraria rampung dibahas berisi pasal disahkan rapat paripurna,Fakta,Kompas Nasional
"KRI Sriwijaya Bakal Jadi Nama Baru Giuseppe Garibaldi, Ada Pertimbangan Sejarah Kemaritiman Nusantara",kri sriwijaya nama giuseppe garibaldi pertimbangan sejarah kemaritiman nusantara,Fakta,Kompas Nasional
"Dasco Pimpin Finalisasi RUU Reforma Agraria, Menteri ATR/BPN Nusron Wahid Hadir",dasco pimpin finalisasi ruu reforma agraria menteri atr bpn nusron wahid hadir,Fakta,Kompas Nasional
Komisi II DPR Sepakati 15 RUU Kabupaten/Kota Dibawa ke Paripurna Besok,komisi ii dpr sepakati ruu kabupaten kota dibawa paripurna besok,Fakta,Kompas Nasional
Ketika Sentralisasi Menguji Meritokrasi,sentralisasi menguji meritokrasi,Fakta,Kompas Nasional
PAN Jajaki Usia Dewasa: Saatnya Perkuat Basis Massa di Semua Lini...,pan jajaki usia dewasa perkuat basis massa lini,Fakta,Kompas Nasional
Membaca Bencana sebagai Kejahatan Negara,membaca bencana kejahatan negara,Fakta,Kompas Nasional
"Eks Pimpinan KPK Ingatkan RUU Perampasan Aset Jangan Sembarang, Harus Ada Bukti Jelas",eks pimpinan kpk ingatkan ruu perampasan aset sembarang bukti,Fakta,Kompas Nasional
Perludem: Syarat Pencalonan Capres-Cawapres Diusung 2 Partai di DPR Bertentangan Putusan MK,perludem syarat pencalonan capres cawapres diusung partai dpr bertentangan putusan mk,Fakta,Kompas Nasional
"KPK: Skor Indeks Integritas Kementerian ATR/BPN Turun 4,58 Poin, Masuk Kategori Rentan",kpk skor indeks integritas kementerian atr bpn turun poin masuk kategori rentan,Fakta,Kompas Nasional
"PAN Setuju Usulan Syarat Capres Diusung Minimal 2 Partai, Sebut Tak Langgar Putusan MK",pan setuju usulan syarat capres diusung minimal partai langgar putusan mk,Fakta,Kompas Nasional
Bumerang Ambang Batas 5 Persen,bumerang ambang batas persen,Fakta,Kompas Nasional
KPK Telusuri Dana Operasional Fiktif Era Lukas Enembe yang Capai Triliunan Rupiah,kpk telusuri dana operasional fiktif era lukas enembe capai triliunan rupiah,Fakta,Kompas Nasional
"Menteri PPPA Soroti Kasus Pria Tendang Wanita di Senayan City, Janji Bakal Kawal Korban",menteri pppa soroti pria tendang wanita senayan city janji kawal korban,Fakta,Kompas Nasional
"Pascabencana Sumatera, Bantuan Jaminan Hidup Rp 435,3 Miliar Siap Dicairkan",pascabencana sumatera bantuan jaminan hidup rp miliar dicairkan,Fakta,Kompas Nasional
"Golkar Akui Ikut Usulkan Syarat Capres Diusung Minimal 2 Fraksi, Klaim Berbasis Putusan MK",golkar akui usulkan syarat capres diusung minimal fraksi klaim berbasis putusan mk,Fakta,Kompas Nasional
Urgensi Sterilisasi Gawai di Sidang DPR,urgensi sterilisasi gawai sidang dpr,Fakta,Kompas Nasional
"Kapal Jepang JS Kunisaki Bergerak ke Ketapang, Bawa Helikopter Chinook untuk Padamkan Karhutla",kapal jepang js kunisaki bergerak ketapang bawa helikopter chinook padamkan karhutla,Fakta,Kompas Nasional
"BGN Siapkan Marketplace Bahan Baku MBG, Cukupkah untuk Cegah Korupsi?",bgn siapkan marketplace bahan baku mbg cegah korupsi,Fakta,Kompas Nasional
"Di Balik HUT Ke-28 PAN, Ada Konsep Eko Patrio dan Aksi Viral Lebah Begantong",hut pan konsep eko patrio aksi viral lebah begantong,Fakta,Kompas Nasional
Refly Harun dan Bambang Widjojanto Jadi Kuasa Hukum Penggugat Syarat Pencalonan Gibran di MK,refly harun bambang widjojanto kuasa hukum penggugat syarat pencalonan gibran mk,Fakta,Kompas Nasional
"Gerindra Buka Pintu untuk PDI-P, Akankah Peta Koalisi Prabowo Berubah pada 2029?",gerindra buka pintu pdi p peta koalisi prabowo berubah,Fakta,Kompas Nasional
"""Data Abadi"" Mantan Jampidsus",data abadi mantan jampidsus,Fakta,Kompas Nasional
"Soroti Perlindungan Satwa, Menhut-Dubes Norwegia Cek Mitigasi Karhutla di Way Kambas",soroti perlindungan satwa menhut dubes norwegia mitigasi karhutla way kambas,Fakta,Kompas Nasional
"Ambang Batas 5 Persen, Antara Menyederhanakan Parlemen dan Risiko Suara Terbuang",ambang batas persen menyederhanakan parlemen risiko suara terbuang,Fakta,Kompas Nasional
"Jelang 2 Tahun Menjabat, Prabowo Percaya Diri Banyak yang Sudah Dicapai",jelang menjabat prabowo percaya dicapai,Fakta,Kompas Nasional
"Kuota, Sertifikat, dan Ekonomi Rente Negara",kuota sertifikat ekonomi rente negara,Fakta,Kompas Nasional
"Saat Sekolah Diberi Opsi Menolak MBG, Ada Hak Siswa yang Harus Tetap Dijaga",sekolah opsi menolak mbg hak siswa dijaga,Fakta,Kompas Nasional
"Dari Gontor, Menguji Telinga Kekuasaan",gontor menguji telinga kekuasaan,Fakta,Kompas Nasional
"Gerindra Buka Pintu untuk PDI-P, Mungkinkah Rujuk pada Pilpres 2029?",gerindra buka pintu pdi p rujuk pilpres,Fakta,Kompas Nasional
"Febrie Adriansyah Buka Suara, Bantah Miliki Emas 74 Kg hingga Mempertanyakan Perkara",febrie adriansyah buka suara bantah miliki emas kg perkara,Fakta,Kompas Nasional
"Deretan Penggugat Sengketa Pilpres Terkait Syarat Pencalonan Gibran, Ada Forum Purnawirawan TNI",deretan penggugat sengketa pilpres terkait syarat pencalonan gibran forum purnawirawan tni,Fakta,Kompas Nasional
"Malam Ini, Gugatan Denny Indrayana soal Syarat Pencalonan Gibran Disidangkan MK",malam gugatan denny indrayana syarat pencalonan gibran disidangkan mk,Fakta,Kompas Nasional
Isi Tuntutan Perkara Sengketa Pilpres Terkait Syarat Pencalonan Gibran yang Digelar Hari Ini,isi tuntutan perkara sengketa pilpres terkait syarat pencalonan gibran digelar,Fakta,Kompas Nasional
Jika Kekuasaan Lebih Suka Diberi Tepuk Tangan,kekuasaan suka tepuk tangan,Fakta,Kompas Nasional
"Sepekan OTT ATR/BPN, KPK Telusuri Jejak Suap HGB dari Kantor Summarecon hingga Rumah Dirjen",sepekan ott atr bpn kpk telusuri jejak suap hgb kantor summarecon rumah dirjen,Fakta,Kompas Nasional
Pilpres 2029: Ambang Batas Pencalonan dari Pintu Belakang,pilpres ambang batas pencalonan pintu,Fakta,Kompas Nasional
"Mentransformasi Giuseppe Garibaldi Menjadi KRI Sriwijaya, Bersiap Jalankan Misi Barunya...",mentransformasi giuseppe garibaldi kri sriwijaya jalankan misi barunya,Fakta,Kompas Nasional
"Wajib Sertifikasi Halal Dimulai Oktober, Anggota DPR DPR Minta UMK Tak Langsung Dibebani Sanksi",wajib sertifikasi halal oktober anggota dpr dpr umk langsung dibebani sanksi,Fakta,Kompas Nasional
"Pemerintah Maksimal Tangani Karhutla, Seskab Teddy: Semua Dilakukan untuk Lindungi Masyarakat",pemerintah maksimal tangani karhutla seskab teddy lindungi masyarakat,Fakta,Kompas Nasional
"Lima Gampong di Aceh Timur Terima 4,2 Juta Benur untuk Pulihkan Tambak Pascabencana",gampong aceh timur terima juta benur pulihkan tambak pascabencana,Fakta,Kompas Nasional
Anggota DPR Minta Pemerintah Siapkan Lokasi Alternatif untuk UMKM di Alun-alun Kidul Jogja,anggota dpr pemerintah siapkan lokasi alternatif umkm alun alun kidul jogja,Fakta,Kompas Nasional
Penyelam Basarnas Temukan Lagi Korban KM Virgo Transport 8 di Dalam Bangkai Kapal,penyelam basarnas temukan korban km virgo transport bangkai kapal,Fakta,Kompas Nasional
"Gibran Sentil Pegawai SPPG yang Ejek Korban Keracunan MBG Karo, Wajahnya Di-upload ke Instagram",gibran sentil pegawai sppg ejek korban keracunan mbg karo wajahnya upload instagram,Fakta,Kompas Nasional
Aparat Diminta Tertibkan Dugaan Pungli Food Truck di Alun-alun Kidul Jogja,aparat tertibkan dugaan pungli food truck alun alun kidul jogja,Fakta,Kompas Nasional
"Soal Ambang Batas Parlemen 5 Persen, PSI Ingatkan Jangan Sampai Suara Rakyat Terbuang",ambang batas parlemen persen psi ingatkan suara rakyat terbuang,Fakta,Kompas Nasional
"Bantah KKB soal Warga Sipil Mata-mata TNI, Kapuspen: Mereka Mau Menakuti Masyarakat",bantah kkb warga sipil mata mata tni kapuspen menakuti masyarakat,Fakta,Kompas Nasional
"Besok, MK Gelar Sidang Sengketa Pilpres soal Syarat Pencalonan Gibran",besok mk gelar sidang sengketa pilpres syarat pencalonan gibran,Fakta,Kompas Nasional
Golkar Masih Pertimbangkan Skema Baru Pencalonan Capres Usai Presidential Threshold Dihapus,golkar pertimbangkan skema pencalonan capres presidential threshold dihapus,Fakta,Kompas Nasional
Kapuspen TNI Sebut 9 Anak Korban Penyanderaan di Papua Masih Belum Kembali,kapuspen tni anak korban penyanderaan papua,Fakta,Kompas Nasional
Road to Pertamina Eco RunFest 2026 Ajak Masyarakat Wujudkan Aksi Nyata Jaga Lingkungan,road to pertamina eco runfest ajak masyarakat wujudkan aksi nyata jaga lingkungan,Fakta,Kompas Nasional
"Sopir Travel Tewas oleh KKB, Anggota DPR Desak Pemerintah Perkuat Perlindungan Warga Sipil di Papua",sopir travel tewas kkb anggota dpr desak pemerintah perkuat perlindungan warga sipil papua,Fakta,Kompas Nasional
"Guru Honorer, Petani, Nelayan, dan Mitra Ojol Jadi Tamu Kehormatan di HUT Ke-28 PAN",guru honorer petani nelayan mitra ojol tamu kehormatan hut pan,Fakta,Kompas Nasional
"Cak Imin Ingatkan UMKM Tak Cukup Hanya Dilatih, Harus Punya Akses Pasar",cak imin ingatkan umkm dilatih akses pasar,Fakta,Kompas Nasional
"Prabowo Mau SD, SMP, SMA Negeri Gratis, Mendikdasmen: Sudah Gratis Semua",prabowo sd smp sma negeri gratis mendikdasmen gratis,Fakta,Kompas Nasional
"Petakan Tata Kelola Agraria Kawasan Transmigrasi, Tim Ekspedisi Patriot Unhas Inisiasi Forum Diskusi di Fakfak Timur",petakan tata kelola agraria kawasan transmigrasi tim ekspedisi patriot unhas inisiasi forum diskusi fakfak timur,Fakta,Kompas Nasional
Kapuspen Sebut Tuduhan Warga Sipil Mata-Mata TNI Hanya Teror dan Intimidasi,kapuspen tuduhan warga sipil mata mata tni teror intimidasi,Fakta,Kompas Nasional
Sedangkal Itukah Bahasa Kekuasaan?,sedangkal bahasa kekuasaan,Fakta,Kompas Nasional
"Bantuan Rp 435 Miliar untuk Bencana Sumatra Cair, Aceh Utara Dapat Porsi Paling Besar",bantuan rp miliar bencana sumatra cair aceh utara porsi,Fakta,Kompas Nasional
Waka Komisi III Dorong Kepolisian Tegas Usut Kasus Ipda Yayat,waka komisi iii dorong kepolisian usut ipda yayat,Fakta,Kompas Nasional
"Dugaan Jual Beli Nomor Porsi Haji di Jatim, Kemenhaj: Ini Bukan Komoditas untuk Diperjualbelikan",dugaan jual beli nomor porsi haji jatim kemenhaj komoditas diperjualbelikan,Fakta,Kompas Nasional
"Janji Tak Nyapres ke Prabowo, Zulhas Mau Fokus Jadi Ketum PAN",janji nyapres prabowo zulhas fokus ketum pan,Fakta,Kompas Nasional
"Rumah Mewah Ipda Yayat Digeledah KPK, Anggota DPR: Usut Juga ke Atas, Apa pun Pangkatnya",rumah mewah ipda yayat digeledah kpk anggota dpr usut pangkatnya,Fakta,Kompas Nasional
"Garibaldi dan Jalan Panjang Menuju ""Maritime Power State""",garibaldi jalan maritime power state,Fakta,Kompas Nasional
BPOM Siap Bantu Pengujian Etomidate dan Jadi Saksi Ahli dalam Kasus Jule,bpom bantu pengujian etomidate saksi ahli jule,Fakta,Kompas Nasional
Pengamat Nilai Wacana Calon Capres-Cawapres Minimal Didukung Dua Partai di DPR Tidak Berdasar,pengamat nilai wacana calon capres cawapres minimal didukung partai dpr berdasar,Fakta,Kompas Nasional
